age,country,event_count,friend_count,gender,id,image,playcount,playlists,recent_artist1,recent_artist2,recent_artist3,recent_artist4,recent_artist5,recent_date1,recent_date2,recent_date3,recent_date4,recent_date5,recent_track1,recent_track2,recent_track3,recent_track4,recent_track5,registered,subscriber,tag1,tag2,tag3,tag4,tag5,top_artist1,top_artist2,top_artist3,top_artist4,top_artist5,top_count1,top_count2,top_count3,top_count4,top_count5
19.0,AT,0,0,f,4955173,False,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1162456958,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,0,0,None,18455836,False,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1241687907,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,0,0,None,27680327,False,27,0,Fabiana Cantilo,Sumo,Los Tipitos,Ser? Gir?n,Invisible,1268957147,1268956952,1268956642,1268956487,1268956336,Amo Lo Extra?o,No Tan Distintos,Silencio,Parado En El Medio De La Vida,Que Ves El Cielo,1267925679,0,Rock Argentino,Rock Argentino,Progressive rock,Rock Argentino,Rock Argentino,Spinetta Jade,Bersuit Vergarabat,Invisible,Sui Generis,Fabiana Cantilo,3,2,2,2,2
None,None,0,0,None,11375818,False,25,0,Hank Williams,Eydie Gorme,Various Artists,Eydie Gorme,Spyro Gyra,1268414092,1268413895,1245623705,1244758000,1244757807,Lovesick Blues,Since I Fell for You,Summer Wine,Since I Fell for You,Cascade,1216762723,0,country,jazz,jazz,country,country,Johnny Cash,Eydie Gorme,Spyro Gyra,Hank Williams,June Carter Cash,3,3,2,2,2
None,None,0,0,None,24234522,False,11,0,Staind,Disturbed,Egypt Central,Charles Hamilton,Wiz Khalifa,1275781931,1275781597,1275781077,1275780435,1275779984,So Far Away,I'm Alive,Different,Brooklyn Girls (Radio Edit),Intro,1259711164,0,alternative rock,Hip-Hop,rap,rock,metal,Egypt Central,Charles Hamilton,Eminem,Staind,Disturbed,2,2,1,1,1
None,None,0,0,None,25342309,False,419,0,Usher,John Legend,Rick Ross,Young Dro,Petey Pablo,1346821771,1346821517,1346821224,1346820895,1346819943,Lemme See (feat. Rick Ross),Tonight (Best You Ever Had),Rich Forever,I Don't Know Y'All,Freek-A-Leek - Dirty Version,1262019160,0,rnb,rnb,Hip-Hop,Hip-Hop,Hip-Hop,Usher,Kirko Bangz,Wiz Khalifa,Rick Ross,Waka Flocka Flame,59,34,33,29,24
21.0,US,0,0,m,8360707,True,35,1,Oingo Boingo,The Dillinger Escape Plan,X JAPAN,X JAPAN,X JAPAN,1195452086,1195451885,1195265135,1195265135,1195264809,Little Girls,When Acting as a Particle,DAHLIA,DAHLIA,CRUCIFY MY LOVE,1195076180,0,J-rock,hardcore,hardcore,None,None,None,None,None,None,None,None,None,None,None,None
None,None,0,0,None,21717863,False,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1254585339,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,0,0,None,3312481,False,9,1,Ke$ha,Ashlee Simpson,Ashley Tisdale,Lady Gaga,Rihanna,1266510440,1266506758,1266506193,1266506079,1266505893,TiK ToK,In Another Life,Headstrong,Eh Eh (Nothing Else I Can Say),Don't Stop the Music,1139584771,0,pop,pop,pop,pop,pop,Rihanna,Ke$ha,Rachel Stevens,Ashlee Simpson,Serebro,2,2,1,1,1
None,FR,0,10,m,19593139,True,25829,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1245864392,0,Hip-Hop,Hip-Hop,electronic,Hip-Hop,electronic,Kanye West,N*E*R*D,Daft Punk,Jay-Z,MGMT,1343,807,615,596,541
None,None,0,0,None,13201595,False,1,0,Aerosmith,None,None,None,None,1224722697,None,None,None,None,Crazy,None,None,None,None,1224722494,0,rock,None,None,None,None,Aerosmith,None,None,None,None,1,None,None,None,None
None,None,0,0,None,18983204,False,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1243550075,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,0,0,None,11909834,False,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1219273158,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
