age,country,event_count,friend_count,gender,id,image,playcount,playlists,recent_artist1,recent_artist2,recent_artist3,recent_artist4,recent_artist5,recent_date1,recent_date2,recent_date3,recent_date4,recent_date5,recent_track1,recent_track2,recent_track3,recent_track4,recent_track5,registered,subscriber,tag1,tag2,tag3,tag4,tag5,top_artist1,top_artist2,top_artist3,top_artist4,top_artist5,top_count1,top_count2,top_count3,top_count4,top_count5
32.0,CU,0,0,f,20886360,True,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1251147569,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,0,0,None,18120869,False,4,0,P. Diddy,Keri Hilson,Missy Elliott,Timbaland,None,1240583710,1240583494,1240583241,1240582898,None,Diddy,Energy,The Rain (Supa Dupa Fly),Scream,None,1240582855,0,Hip-Hop,Hip-Hop,Hip-Hop,rnb,None,Missy Elliott,P. Diddy,Timbaland,Keri Hilson,None,1,1,1,1,None
None,None,0,0,None,18205105,False,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1240845047,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,0,0,None,26570156,False,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1265046197,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,0,0,None,21918996,False,463,2,Collective Soul,Vertical Horizon,Sister Hazel,Train,Kristian Leontiou,1269489040,1269488756,1269488489,1269485204,1269483394,Shine,The Man Who Would Be Santa,Change Your Mind,Drops of Jupiter,Shining,1255361758,0,pop,pop,pop,k-pop,indie,Daniel Bedingfield,James Blunt,Justin Timberlake,???,Metric,11,9,8,8,7
None,None,0,0,None,8446968,False,814,0,Linkin Park,Poncho K,Marea,Marea,La Fuga,1203099832,1203099684,1203099430,1203099189,1203098992,In the End,Poncho K / ?Kolegas?,Aceitunero,Malos despertares - www.viriatorock.com,Conversaci?n habitaci?n,1195851203,0,rock,punk rock,rock,spanish,spanish,Poncho K,Mala Reputaci?n,S?nkope,Estopa,Despistaos,264,142,88,70,49
None,None,0,0,None,17844192,False,9,1,The Zutons,The Rakes,Troopers,Verlorene Jungs,Broilers,1239790597,1239742502,1239733771,1239733599,1239733377,Put A Little Aside,Suspicious Eyes,Ein Fehler Der Natur,1000 Liter,Ruby Light & Dark,1239731675,0,indie,indie,Oi,indie,Oi,The Zutons,The Coral,Troopers,Razorlight,Broilers,2,1,1,1,1
None,None,0,0,m,4397783,True,35,0,Hilary & Haylie Duff,Hilary Duff,Jennifer Lopez,Jessica Simpson,JoJo,1154884034,1154883395,1154883133,1154882931,1154882723,Material Girl,What Dreams Are Made Of,Play,A Public Affair,Not That Kinda Girl,1154815047,0,pop,pop,Brutal Death Metal,Hip-Hop,pop,Britney Spears,Kelly Clarkson,Paris Hilton,Black Eyed Peas,Pink,4,4,3,2,2
None,None,0,0,,5602564,False,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1170733989,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,0,0,None,9747250,False,579,0,John Lennon,Chuck Berry,The Byrds,George Harrison,Neil Diamond,1214411986,1214411662,1214411521,1214411288,1214411075,You Are Here,Johnny B. Goode,Mr. Tambourine Man,Someplace Else,Save Me A Saturday Night,1205090138,0,pop,electronic,dance,Rock and Roll,swedish,Darin,Various Artists,Alcazar,Chuck Berry,The Attic,23,10,10,9,9
None,None,0,0,None,28415169,False,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1270015311,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,0,0,None,17945879,False,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1240055133,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,0,0,,7129554,False,1,0,Acoustic Alchemy,None,None,None,None,1184767345,None,None,None,None,The Beautiful Game,None,None,None,None,1184770195,0,Smooth Jazz,None,None,None,None,Acoustic Alchemy,None,None,None,None,1,None,None,None,None
26.0,MX,0,50,m,9045052,True,29854,1,Algarab?a,Algarab?a,Algarab?a,Algarab?a,Algarab?a,1347994992,1347993370,1347990130,1347988098,1347986450,Mitos y leyendas del cine.,Londres,#fugandoconjuego @piolojuvera,Aston Martin,Fumar es un placer,1200889875,0,Progressive rock,Gothic,indie,french,rock,The Mars Volta,Emilie Autumn,Metric,?milie Simon,Garbage,1484,597,547,459,410
None,None,0,0,None,25182841,False,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1261682406,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,0,0,None,3862979,False,7175,0,Corinne Bailey Rae,Corinne Bailey Rae,Corinne Bailey Rae,Corinne Bailey Rae,Amy Winehouse,1289832987,1289832736,1289832436,1289832232,1289831945,I'd Like To,Breathless,Call Me When You Get This,Trouble Sleeping,You Know I'm No Good,1148980954,0,soul,soul,reggae,pop,singer-songwriter,Corinne Bailey Rae,Amy Winehouse,Bedouin Soundclash,Lily Allen,Paolo Nutini,666,580,370,327,246
None,None,0,0,None,25057407,False,4,0,Nas,The Notorious B.I.G.,2Pac,Lady Gaga,None,1261414631,1261414406,1261414105,1261413886,None,One Love,Unbelievable,Bury Me A G,Paparazzi,None,1261413821,0,Hip-Hop,rap,pop,Hip-Hop,None,Nas,2Pac,Lady Gaga,The Notorious B.I.G.,None,1,1,1,1,None
None,None,0,0,None,13319719,False,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1225106400,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,0,0,None,20770578,False,2,0,Piero Pel?,Piero Pel?,None,None,None,1250847413,1250846925,None,None,None,Trib? (live),Segni 'n Faccia,None,None,None,1250672913,0,rock,None,None,None,None,Piero Pel?,None,None,None,None,2,None,None,None,None
None,None,0,0,None,16551915,False,613,0,Michael Learns to Rock,Bertie Higgins,Richard Marx,Don Henley,Air Supply,1241024740,1241024522,1241024203,1241023807,1241023457,You Took My Heart Away,Key Largo,Hazard,New York Minute,All Out of Love,1236099379,0,80s,pop,soft rock,pop,pop,Air Supply,Barry Manilow,Christopher Cross,Olivia Newton-John,Phil Collins,22,16,16,15,14
None,None,0,0,None,22399955,False,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1257051408,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,0,0,None,27447751,False,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1267300515,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,0,0,None,23536010,False,2,0,Sonic Youth,The Flaming Lips,None,None,None,1258742559,1258742344,None,None,None,Superstar,Do You Realize??,None,None,None,1258742248,0,alternative,indie,None,None,None,Sonic Youth,The Flaming Lips,None,None,None,1,1,None,None,None
None,None,0,0,None,5150347,False,2805,0,The Fray,Webbie,Brad Paisley,Jibbs,Keri Hilson,1214603182,1214602966,1214602710,1214602417,1214601649,Vienna,Give Me That,Oh Love,Chain Hang Low,Energy,1165184788,0,country,female vocalists,country,alternative,pop,Rascal Flatts,Colbie Caillat,Miranda Lambert,The Fray,Vanessa Carlton,179,94,89,83,63
None,None,0,0,None,13643711,False,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1226369221,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,0,0,None,29454299,False,13,0,G-Unit,Nas,Nelly,Obie Trice,Snoop Dogg,1290710114,1290709840,1290709613,1290709193,1290708967,Poppin' Them Thangs,Affirmative Action,Hot In Herre,Look In My Eyes,Gin And Juice,1273251029,0,rap,rap,Hip-Hop,Hip-Hop,rap,Ice Cube,Bobby Creekwater,Nas,Nelly,Eminem,2,2,1,1,1
None,None,0,0,None,12122006,False,824,0,Coldplay,Duffy,Katy Perry,Ironik,Kate Ryan,1230504089,1230503873,1230503715,1230503418,1230503237,Viva la Vida,Mercy,I Kissed a Girl,Stay With Me,Ella elle l'a,1220205333,0,acoustic,rock,opera,chillout,singer-songwriter,Jos? Gonz?lez,Coldplay,Anne Sofie von Otter,Hotel Costes,Gavin DeGraw,191,65,35,28,27
None,None,0,0,None,4633746,False,64,2,Klutz,Sebastian Wolff,Kyle Landry,Marilyn Manson,???,1313264061,1313262870,1313262784,1237416185,1219587113,Chrono Trigger 600 A.D. in Piano OC Remix,Kingdom Hearts Piano Medley,Cheerfulness,Sweet Dreams (Are Made of This),Magokoro -Thanks Version-,1157819081,0,symphonic metal,Power metal,rock,Gothic Metal,Gothic Metal,Apocalyptica,Sonata Arctica,Papa Roach,Lacuna Coil,After Forever,5,4,3,3,3
